distancia_km,peso_kg,num_paradas,tempo_estimado_min,indice_combustivel,custo_entrega
28.32,495.26,7,44.29,1.108,105.02
144.08,206.9,9,235.81,0.965,184.55
153.35,186.64,7,229.91,1.035,199.94
114.45,388.43,3,192.06,1.172,168.98
155.34,171.06,3,230.78,1.236,216.47
101.29,465.45,8,141.75,1.017,170.2
106.93,429.35,5,187.56,0.822,147.08
88.37,215.07,4,132.24,0.881,141.91
9.96,375.68,8,10.0,0.81,70.33
26.04,377.52,6,25.41,1.127,79.81
11.13,52.46,2,10.0,0.966,23.66
129.1,451.37,4,206.32,1.071,169.46
66.3,253.12,4,97.97,1.047,96.76
104.17,413.4,6,190.73,0.841,141.62
181.98,160.7,6,290.76,1.002,235.03
53.61,447.87,1,84.28,0.91,89.25
85.02,195.21,8,148.6,1.009,142.2
152.33,6.41,6,221.07,0.902,170.36
49.62,452.79,3,46.6,1.22,106.39
20.01,46.55,9,15.17,0.887,83.07
61.5,160.34,2,94.46,1.28,83.52
36.44,475.08,8,51.32,1.008,117.45
186.29,475.35,10,291.8,1.223,265.08
162.58,287.15,3,242.01,1.114,210.78
128.51,316.29,5,203.99,1.168,213.18
174.93,224.77,6,284.92,1.184,251.22
161.72,147.31,10,240.66,1.052,226.32
41.38,165.0,6,70.4,1.072,109.79
179.05,336.59,4,242.25,1.057,216.43
110.17,376.43,3,163.4,1.094,162.93
162.45,396.0,4,225.2,0.815,184.98
179.74,395.02,1,271.79,0.998,204.17
67.01,46.51,4,104.06,1.103,98.53
26.46,247.72,1,43.18,1.099,53.53
49.45,29.72,1,66.97,1.196,75.39
88.29,275.21,10,166.91,1.128,170.55
164.51,221.32,6,227.75,1.296,244.65
172.84,443.96,5,239.33,0.942,218.47
6.36,176.11,4,34.36,0.98,28.53
104.6,59.42,3,146.33,0.992,125.42
86.4,72.35,1,115.42,1.033,95.32
48.31,380.99,6,107.01,1.218,118.84
28.37,309.49,2,57.35,0.918,67.91
70.83,51.46,8,97.34,1.188,125.47
188.87,42.97,10,286.56,1.003,242.4
68.02,350.78,5,131.22,1.101,135.55
106.16,37.31,7,169.62,1.116,156.03
142.09,411.11,10,232.43,0.986,200.41
75.91,353.41,2,125.93,1.056,101.6
194.5,41.59,8,305.7,1.007,236.62
192.68,43.33,2,289.61,0.835,185.19
54.1,493.33,4,81.32,1.019,98.19
101.96,187.76,1,156.95,0.849,120.57
63.67,185.95,5,106.52,1.003,101.43
60.54,406.59,9,86.57,1.096,116.53
12.19,473.68,1,20.12,1.09,67.89
123.87,493.01,9,181.14,1.131,217.31
103.02,376.94,8,156.27,0.848,131.18
15.04,188.75,6,10.0,1.126,57.36
59.34,42.67,7,128.09,0.956,97.31
182.11,388.8,3,262.17,1.0,234.67
51.71,279.64,1,72.15,1.229,90.05
33.25,212.69,5,37.59,0.805,55.84
100.44,453.27,2,159.9,1.094,158.4
197.2,56.49,5,292.86,1.099,228.24
52.2,246.82,8,63.84,0.998,104.81
136.07,6.67,9,213.95,0.919,165.01
153.52,234.86,2,242.15,0.917,166.01
51.34,29.1,3,76.01,1.242,96.43
147.0,60.29,3,210.55,1.021,186.36
76.72,59.65,1,147.94,0.965,83.29
128.3,324.96,8,197.55,1.024,194.41
128.54,373.28,6,173.7,1.135,184.39
109.48,292.1,8,185.42,0.873,149.58
22.61,481.12,9,21.07,1.025,100.6
167.88,188.06,5,292.95,1.094,210.34
67.55,143.57,3,102.52,1.274,118.0
41.37,434.43,5,77.26,0.926,102.4
12.95,112.57,5,10.0,0.98,47.45
120.22,481.65,5,161.07,0.99,183.65
137.13,7.07,3,225.7,1.103,158.17
8.23,484.97,10,17.12,0.978,100.86
104.86,22.54,4,187.92,1.067,120.97
49.17,445.68,9,81.03,1.191,155.23
130.81,264.32,10,198.39,1.153,204.62
39.0,496.49,9,84.21,1.023,104.55
139.73,37.82,2,224.75,1.232,182.77
80.41,277.37,8,117.68,1.079,131.59
187.66,484.68,8,265.08,1.07,262.24
31.82,262.03,7,12.15,0.817,91.79
71.51,315.07,8,100.7,1.293,136.88
27.13,348.18,3,22.9,0.861,71.19
185.32,227.82,6,316.94,0.916,202.49
176.08,314.15,1,254.37,0.826,186.81
55.3,292.57,7,72.78,1.12,118.62
133.7,450.68,1,177.73,0.912,167.65
164.36,23.68,9,242.54,0.89,192.24
113.26,141.2,1,159.93,0.844,114.2
108.28,475.26,1,188.49,0.852,143.55
52.16,445.24,7,80.77,1.092,105.84
23.16,228.37,2,34.6,1.144,41.64
179.96,310.45,5,267.92,0.999,221.04
180.58,139.41,8,282.66,1.04,228.58
128.45,94.87,8,185.9,1.143,193.33
71.11,232.39,3,116.67,0.809,107.21
73.1,177.32,7,133.85,0.962,126.81
146.56,292.24,3,226.74,1.287,225.25
179.94,39.79,6,266.16,1.09,227.73
177.98,487.22,6,252.67,0.927,225.58
157.08,493.12,3,231.49,1.061,206.95
130.2,349.38,7,203.74,0.971,186.66
21.41,268.51,3,10.0,1.066,61.35
36.52,155.45,8,67.25,0.863,89.96
180.22,407.08,10,273.44,0.866,225.94
123.25,342.68,4,182.64,0.872,160.45
6.79,82.15,1,10.0,1.27,23.9
24.79,455.55,4,30.03,1.166,79.73
134.38,411.45,7,210.53,0.881,192.48
5.99,474.95,4,10.0,0.894,50.54
36.36,363.13,6,47.02,1.165,74.14
112.0,307.09,9,175.03,0.878,166.2
139.92,209.7,1,217.5,0.917,151.34
132.13,466.43,5,179.46,1.282,221.86
48.73,433.17,7,81.67,0.928,107.69
143.87,23.56,1,253.34,1.131,169.63
51.26,14.16,4,83.94,1.289,92.22
68.45,188.86,6,77.19,0.987,121.15
150.57,405.47,2,228.51,0.809,169.29
131.68,493.65,10,170.06,0.922,169.48
170.6,76.06,5,303.41,1.215,236.88
133.23,297.47,10,233.39,1.232,226.92
115.82,191.06,1,163.74,1.184,154.47
23.27,484.99,6,10.0,0.857,74.08
76.7,421.22,6,101.88,1.198,155.69
56.71,419.33,4,82.36,1.259,129.78
52.58,234.88,8,52.44,1.1,88.24
194.74,207.99,4,291.07,1.27,260.45
81.65,137.43,8,119.67,1.213,143.66
178.95,29.13,8,270.3,1.133,247.24
128.07,432.5,5,195.55,1.089,188.06
159.99,406.64,4,225.5,0.974,191.75
103.01,499.86,2,141.72,0.88,141.75
117.5,498.32,3,176.93,1.102,171.13
101.04,278.16,3,142.1,0.959,131.47
43.07,384.72,4,78.22,1.233,100.28
145.88,472.44,4,219.36,1.297,233.63
59.75,424.97,10,117.6,1.176,141.15
9.74,124.43,5,26.92,0.845,57.37
130.87,225.82,4,212.86,0.944,161.71
39.54,65.45,10,61.29,0.855,80.76
188.39,477.07,8,284.94,1.125,268.57
191.02,303.48,6,312.49,1.183,255.99
183.4,115.09,6,269.42,1.263,257.39
77.18,336.18,8,123.97,1.019,147.42
8.01,309.45,7,10.0,1.251,56.75
186.02,179.72,10,275.0,1.239,279.51
88.5,57.67,10,115.21,0.959,128.98
193.5,336.12,8,279.11,1.234,284.82
192.91,260.63,2,275.43,0.988,224.62
171.34,386.39,9,265.92,0.948,205.62
62.42,260.56,1,109.23,1.125,87.96
80.09,426.24,8,118.72,0.964,138.27
170.97,276.4,4,259.9,1.115,226.48
66.8,280.91,4,97.91,1.105,112.22
38.05,438.45,5,44.91,1.082,93.88
113.58,202.34,8,183.3,0.99,185.85
187.55,67.87,5,291.11,1.074,216.56
140.73,15.36,8,182.7,1.098,201.03
116.16,377.81,10,170.0,1.073,187.09
23.95,310.53,1,22.69,1.022,61.88
124.93,352.34,10,181.53,0.807,192.74
198.06,107.27,9,287.03,1.094,265.22
32.32,69.05,6,47.78,0.884,73.82
106.07,8.26,3,154.16,1.121,153.97
176.09,175.94,8,258.86,1.18,259.11
149.45,295.37,9,240.79,1.05,207.42
140.92,196.73,6,219.73,1.071,194.51
141.98,219.3,7,202.42,1.276,201.94
75.1,452.18,1,104.32,1.224,120.15
62.25,174.78,5,100.75,1.257,119.56
162.83,257.48,5,251.59,1.207,224.22
162.97,392.04,10,235.4,0.854,212.28
174.08,198.87,4,257.61,0.874,188.36
183.08,311.42,6,302.32,1.063,245.91
104.71,431.32,7,148.27,0.923,152.47
102.8,474.81,9,182.86,1.038,169.01
160.67,74.39,1,257.56,0.997,191.43
131.74,463.37,6,223.5,1.075,192.83
141.88,246.57,7,203.39,1.173,215.46
160.18,129.86,3,237.74,1.158,219.98
178.55,230.11,8,261.09,1.061,237.74
70.91,490.04,5,123.26,1.211,131.97
78.24,246.82,9,108.84,1.015,136.0
23.33,165.05,5,45.96,1.248,81.32
117.76,317.07,9,186.82,0.836,166.33
12.01,120.83,10,17.29,1.277,62.99
95.79,38.86,4,163.17,1.127,141.62
110.82,65.31,9,167.84,0.99,166.51
60.88,64.89,5,103.82,0.899,88.84
120.21,76.8,10,172.9,1.04,182.21
10.95,70.27,9,10.0,0.897,65.82
12.28,320.8,3,29.39,0.883,52.68
165.41,91.76,4,254.57,1.109,194.82
75.24,173.49,9,116.51,1.062,146.0
29.78,448.5,10,39.51,1.135,116.01
106.84,237.51,6,183.49,1.265,183.17
155.15,334.11,2,215.97,1.066,209.08
47.09,86.99,7,53.06,1.09,103.18
126.46,96.95,2,203.83,0.845,140.57
21.64,21.39,2,45.37,1.159,26.54
